"지하철역ID","지하철역명","호선","엘리베이터유무","휘체어리프트유무","환승주차자유무","자전거보관소유무","무인민원발급기유무","환전키오스크유무","기차예매역유무","문화공간유무","문화공간유무","유아수유방유무"
"0234","신도림","02호선","Y","N","N","","N","N","N","N","N","N"
"0235","문래","02호선","Y","N","N","","N","N","N","N","Y","N"
"0236","영등포구청","02호선","Y","N","Y","","N","N","N","N","Y","Y"
"0237","당산","02호선","Y","N","N","","Y","N","N","N","Y","N"
"0238","합정","02호선","Y","N","N","","Y","N","N","N","Y","N"
"0239","홍대입구","02호선","Y","N","N","","N","Y","N","N","Y","N"
"0240","신촌","02호선","Y","N","N","","Y","N","N","N","Y","Y"
"0241","이대","02호선","Y","N","N","","N","Y","N","N","N","N"
"0242","아현","02호선","Y","N","N","","N","N","N","N","Y","N"
"0243","충정로","02호선","Y","N","N","","Y","N","N","N","Y","N"
"0244","용답","02호선","N","Y","N","","N","N","N","N","N","N"
"0245","신답","02호선","Y","N","N","","N","N","N","N","N","N"
"0246","신설동","02호선","Y","Y","N","","N","N","N","N","N","Y"
"0247","도림천","02호선","Y","N","N","","N","N","N","N","N","N"
"0248","양천구청","02호선","Y","N","N","","N","N","N","N","Y","N"
"0249","신정네거리","02호선","Y","Y","N","","N","N","N","N","Y","N"
"0250","용두","02호선","Y","N","N","","N","N","N","N","N","N"
"0309","지축","03호선","Y","N","N","","Y","N","N","N","N","N"
"0310","구파발","03호선","Y","N","Y","","Y","N","N","N","Y","Y"
"0311","연신내","03호선","Y","N","N","","Y","N","N","N","N","N"
"0312","불광","03호선","Y","N","N","","Y","N","N","N","Y","N"
"0313","녹번","03호선","Y","N","N","","N","N","N","N","N","N"
"0314","홍제","03호선","Y","N","N","","Y","N","N","N","Y","N"
"0315","무악재","03호선","Y","N","N","","N","N","N","N","Y","N"
"0316","독립문","03호선","Y","N","N","","N","N","N","N","N","Y"
"0317","경복궁","03호선","Y","N","N","","N","Y","N","Y","Y","N"
"0318","안국","03호선","Y","N","N","","N","Y","N","Y","Y","N"
"0319","종로3가","03호선","Y","N","N","","N","N","N","N","Y","Y"
"0320","을지로3가","03호선","Y","N","N","","N","N","N","N","Y","N"
"0321","충무로","03호선","N","N","N","","N","N","N","N","N","N"
"0322","동대입구","03호선","Y","N","N","","N","N","N","N","Y","N"
"0323","약수","03호선","Y","N","N","","N","N","N","N","Y","N"
"0324","금호","03호선","Y","N","N","","Y","N","N","Y","N","N"
"0325","옥수","03호선","Y","N","N","","Y","N","N","N","Y","Y"
"0326","압구정","03호선","Y","N","N","","Y","Y","N","N","Y","N"
"0327","신사","03호선","Y","N","N","","Y","Y","N","N","Y","N"
"0328","잠원","03호선","Y","N","N","","N","N","N","N","Y","N"
"0329","고속터미널","03호선","Y","Y","N","","N","N","N","N","N","Y"
"0330","교대","03호선","Y","Y","N","","N","N","N","N","Y","N"
"0331","남부터미널","03호선","Y","N","N","","N","N","N","N","Y","N"
"0332","양재","03호선","Y","N","Y","","N","N","N","N","N","Y"
"0333","매봉","03호선","Y","N","N","","N","N","N","N","N","N"
"0334","도곡","03호선","N","N","N","","N","N","N","N","Y","Y"
"0335","대치","03호선","Y","N","N","","N","N","N","N","N","N"
"0336","학여울","03호선","Y","N","Y","","N","N","N","N","Y","N"
"0337","대청","03호선","Y","N","Y","","N","N","N","N","Y","N"
"0338","일원","03호선","Y","N","Y","","N","N","N","N","Y","N"
"0339","수서","03호선","Y","N","Y","","N","N","Y","Y","Y","N"
"0340","가락시장","03호선","Y","N","N","","N","N","N","N","N","N"
"0341","경찰병원","03호선","Y","N","N","","N","N","N","N","N","N"
"0342","오금","03호선","Y","N","N","","Y","N","N","N","N","N"
"0409","당고개","04호선","Y","N","Y","","N","N","N","N","N","N"
"0410","상계","04호선","Y","Y","N","","N","N","N","N","Y","N"
"0411","노원","04호선","Y","N","N","","N","N","N","N","Y","Y"
"0412","창동","04호선","Y","Y","Y","","Y","N","N","N","N","N"
"0413","쌍문","04호선","Y","N","N","","Y","N","N","N","Y","N"
"0414","수유","04호선","Y","N","N","","Y","N","N","N","Y","N"
"0415","미아","04호선","Y","N","N","","Y","N","N","N","Y","N"
"0416","미아사거리","04호선","Y","N","N","","Y","N","N","Y","Y","Y"
"0417","길음","04호선","Y","N","Y","","N","N","N","N","Y","Y"
"0418","성신여대입구","04호선","Y","N","N","","N","N","N","N","N","N"
"0419","한성대입구","04호선","Y","N","N","","N","N","N","N","Y","N"
"0420","혜화","04호선","Y","N","N","","Y","N","N","Y","Y","N"
"0421","동대문","04호선","Y","N","N","","N","Y","N","N","N","N"
"0422","동대문역사문화공원","04호선","Y","N","N","","N","N","N","Y","N","Y"
"0423","충무로","04호선","Y","Y","N","","N","Y","N","Y","Y","N"
"0424","명동","04호선","Y","N","N","","N","Y","N","N","N","N"
"0425","회현","04호선","Y","N","N","","N","Y","N","N","N","N"
"0426","서울역","04호선","Y","Y","N","","N","Y","N","N","N","Y"
"0427","숙대입구","04호선","Y","N","N","","N","N","N","N","Y","N"
"0428","삼각지","04호선","Y","N","N","","N","N","N","N","Y","N"
"0429","신용산","04호선","Y","N","N","","N","N","N","N","Y","N"
"0430","이촌","04호선","Y","N","N","","N","N","N","N","Y","Y"
"0431","동작","04호선","Y","N","Y","","N","N","N","N","Y","N"
"0432","총신대입구","04호선","Y","N","N","","N","N","N","N","Y","N"
"0433","사당","04호선","Y","Y","N","","N","N","N","N","N","Y"
"0434","남태령","04호선","Y","N","N","","N","N","N","N","N","N"
"1702","가산디지털단지","01호선","N","Y","N","","N","N","N","N","Y","Y"
"2511","방화","05호선","Y","N","Y","","N","N","N","N","N","N"
"2512","개화산","05호선","Y","N","Y","","N","N","N","N","Y","N"
"2513","김포공항","05호선","Y","N","N","","N","Y","N","N","N","Y"
"2514","송정","05호선","Y","N","N","","N","N","N","N","Y","N"
"2515","마곡","05호선","Y","N","N","","N","N","N","N","N","N"
"2516","발산","05호선","Y","N","N","","N","N","N","N","Y","N"
"2517","우장산","05호선","Y","N","N","","N","N","N","N","N","Y"
"2518","화곡","05호선","Y","N","N","","Y","N","N","N","Y","N"
"2519","까치산","05호선","Y","Y","N","","Y","N","N","N","N","Y"
"2520","신정","05호선","Y","N","N","","N","N","N","N","Y","N"
"2521","목동","05호선","Y","N","N","","Y","N","N","N","Y","Y"
"2522","오목교","05호선","Y","N","Y","","Y","N","N","Y","N","N"
"2523","양평","05호선","Y","N","N","","N","N","N","N","N","N"
"2524","영등포구청","05호선","Y","Y","Y","","N","N","N","N","N","Y"
"2525","영등포시장","05호선","Y","N","N","","N","N","N","Y","N","N"
"2526","신길","05호선","Y","N","Y","","N","N","N","N","Y","Y"
"2527","여의도","05호선","Y","N","N","","Y","N","N","N","Y","Y"
"2528","여의나루","05호선","Y","N","N","","N","N","N","N","N","Y"
"2529","마포","05호선","Y","N","N","","N","N","N","N","N","N"
"2530","공덕","05호선","Y","N","N","","Y","N","N","N","Y","Y"
"2531","애오개","05호선","Y","N","N","","N","N","N","N","N","N"
"2532","충정로","05호선","Y","N","N","","N","N","N","N","Y","Y"
"2533","서대문","05호선","Y","Y","N","","N","N","N","N","N","N"
"2534","광화문","05호선","Y","N","N","","N","Y","N","Y","Y","Y"
"2535","종로3가","05호선","Y","Y","N","","N","N","N","N","Y","N"
"2536","을지로4가","05호선","Y","N","N","","N","N","N","N","N","N"
"2537","동대문역사문화공원","05호선","Y","Y","N","","N","N","N","Y","N","Y"
"2538","청구","05호선","Y","N","N","","N","N","N","N","Y","Y"
"2539","신금호","05호선","Y","N","N","","N","N","N","Y","Y","N"
"2540","행당","05호선","Y","N","N","","N","N","N","N","Y","N"
"2541","왕십리","05호선","Y","N","N","","N","N","N","Y","Y","Y"
"2542","마장","05호선","Y","N","N","","N","N","N","N","Y","N"
"2543","답십리","05호선","Y","Y","N","","N","N","N","N","Y","Y"
"2544","장한평","05호선","Y","Y","N","","N","N","N","N","Y","N"
"2545","군자","05호선","Y","N","N","","Y","N","N","N","Y","Y"
"2546","아차산","05호선","Y","N","N","","Y","N","N","N","Y","Y"
"2547","광나루","05호선","Y","Y","N","","N","N","N","N","Y","N"
"2548","천호","05호선","Y","N","Y","","Y","N","N","N","Y","Y"
"2549","강동","05호선","Y","Y","Y","","N","N","N","N","Y","Y"
"2550","길동","05호선","Y","N","N","","Y","N","N","N","Y","N"
"2551","굽은다리","05호선","Y","N","N","","Y","N","N","N","Y","N"
"2552","명일","05호선","Y","N","N","","Y","N","N","N","Y","N"
"2553","고덕","05호선","Y","N","N","","Y","N","N","Y","Y","Y"
"2554","상일동","05호선","Y","Y","N","","Y","N","N","N","Y","N"
"2555","둔촌동","05호선","Y","N","N","","Y","N","N","N","Y","N"
"2556","올림픽공원","05호선","Y","N","N","","N","N","N","N","Y","Y"
"2557","방이","05호선","Y","N","N","","N","N","N","N","Y","N"
"2558","오금","05호선","Y","N","N","","Y","N","N","N","N","N"
"2559","개롱","05호선","Y","N","N","","N","N","N","N","N","N"
"2560","거여","05호선","Y","N","N","","Y","N","N","N","Y","Y"
"2561","마천","05호선","Y","N","N","","N","N","N","N","Y","N"
"2562","강일","05호선","Y","N","N","","N","N","N","N","Y","Y"
"2563","미사","05호선","Y","N","N","","Y","N","N","N","N","Y"
"2564","하남풍산","05호선","Y","N","N","","N","N","N","N","N","Y"
"2565","하남시청","05호선","Y","N","N","","N","N","N","N","Y","Y"
"2566","하남검단산","05호선","Y","N","N","","N","N","N","Y","Y","Y"
"2611","응암","06호선","Y","N","N","","Y","N","N","N","Y","Y"
"2612","역촌","06호선","Y","N","N","","N","N","N","N","Y","N"
"2613","불광","06호선","Y","Y","N","","N","N","N","N","N","Y"
"2614","독바위","06호선","Y","N","N","","N","N","N","N","N","N"
"2615","연신내","06호선","Y","N","N","","N","N","N","N","N","N"
"2616","구산","06호선","Y","Y","N","","N","N","N","N","N","N"
"2617","새절","06호선","Y","Y","N","","N","N","N","N","Y","N"
"2618","증산","06호선","Y","N","N","","N","N","N","N","Y","N"
"2619","디지털미디어시티","06호선","Y","Y","N","","N","N","N","N","Y","N"
"2620","월드컵경기장","06호선","Y","N","N","","N","N","N","Y","Y","Y"
"2621","마포구청","06호선","Y","Y","N","","N","N","N","N","Y","N"
"2622","망원","06호선","Y","N","N","","N","N","N","N","Y","N"
"2623","합정","06호선","Y","Y","N","","Y","N","N","N","N","Y"
"2624","상수","06호선","Y","N","N","","N","N","N","N","N","N"
"2625","광흥창","06호선","Y","Y","N","","N","N","N","N","Y","N"
"2626","대흥","06호선","Y","Y","N","","N","N","N","Y","Y","Y"
"2627","공덕","06호선","Y","Y","N","","Y","N","N","N","Y","Y"
"2628","효창공원앞","06호선","Y","Y","N","","N","N","N","N","N","N"
"2629","삼각지","06호선","Y","Y","N","","N","N","N","Y","N","Y"
"2630","녹사평","06호선","Y","N","N","","N","N","N","Y","Y","N"
"2631","이태원","06호선","Y","N","N","","N","Y","N","N","N","Y"
"2632","한강진","06호선","Y","N","Y","","N","N","N","N","Y","N"
"2633","버티고개","06호선","Y","N","N","","Y","N","N","N","Y","N"
"2634","약수","06호선","Y","N","N","","N","N","N","N","Y","Y"
"2635","청구","06호선","Y","N","N","","N","N","N","N","N","Y"
"2636","신당","06호선","Y","Y","N","","N","N","N","N","Y","N"
"2637","동묘앞","06호선","Y","Y","N","","N","N","N","N","Y","Y"
"2638","창신","06호선","Y","N","N","","N","N","N","N","Y","N"
"2639","보문","06호선","Y","N","N","","N","N","N","N","Y","N"
"2640","안암","06호선","Y","N","N","","N","N","N","N","Y","Y"
"2641","고려대","06호선","Y","N","N","","Y","N","N","Y","Y","N"
"2642","월곡","06호선","Y","Y","N","","N","N","N","N","Y","N"
"2643","상월곡","06호선","Y","Y","N","","N","N","N","Y","Y","Y"
"2644","돌곶이","06호선","Y","N","N","","N","N","N","N","Y","N"
"2645","석계","06호선","Y","Y","Y","","N","N","N","Y","Y","N"
"2646","태릉입구","06호선","Y","N","N","","N","N","N","N","Y","Y"
"2647","화랑대","06호선","Y","N","Y","","N","N","N","N","N","N"
"2648","봉화산","06호선","Y","Y","Y","","N","N","N","N","Y","N"
"2649","신내","06호선","Y","N","N","","N","N","N","N","N","N"
"2711","장암","07호선","Y","N","Y","","N","N","N","N","Y","N"
"2712","도봉산","07호선","Y","N","Y","","N","N","N","N","Y","N"
"2713","수락산","07호선","Y","Y","Y","","N","N","N","Y","Y","Y"
"2714","마들","07호선","Y","Y","N","","N","N","N","N","N","N"
"2715","노원","07호선","Y","N","N","","N","N","N","Y","Y","Y"
"2716","중계","07호선","Y","N","N","","N","N","N","N","Y","N"
"2717","하계","07호선","Y","N","N","","N","N","N","N","Y","Y"
"2718","공릉","07호선","Y","N","N","","N","N","N","N","N","N"
"2719","태릉입구","07호선","Y","N","N","","N","N","N","N","Y","Y"
"2720","먹골","07호선","Y","N","N","","N","N","N","N","Y","N"
"2721","중화","07호선","Y","N","N","","Y","N","N","N","Y","N"
"2722","상봉","07호선","Y","N","N","","N","N","N","N","Y","N"
"2723","면목","07호선","Y","N","N","","N","N","N","N","Y","N"
"2724","사가정","07호선","Y","N","N","","N","N","N","N","Y",""
"2725","용마산","07호선","Y","N","N","","N","N","N","N","N","N"
"2726","중곡","07호선","Y","N","N","","Y","N","N","N","Y","N"
"2727","군자","07호선","Y","N","N","","Y","N","N","N","Y","Y"
"2728","어린이대공원","07호선","Y","N","N","","N","N","N","Y","Y","Y"
"2729","건대입구","07호선","Y","Y","N","","N","N","N","N","N","N"
"2730","뚝섬유원지","07호선","Y","N","Y","","N","N","N","Y","Y","Y"
"2731","청담","07호선","Y","Y","N","","N","N","N","Y","Y","N"
"2732","강남구청","07호선","Y","N","N","","N","N","N","N","Y","N"
"2733","학동","07호선","Y","N","N","","N","N","N","N","Y","N"
"2734","논현","07호선","Y","Y","N","","N","N","N","N","Y","Y"
"2735","반포","07호선","Y","Y","N","","N","N","N","N","Y","N"
"2736","고속터미널","07호선","Y","Y","N","","N","Y","N","Y","Y","Y"
"2737","내방","07호선","Y","N","N","","N","N","N","N","Y","N"
"2738","이수","07호선","Y","Y","N","","N","N","N","Y","Y","Y"
"2739","남성","07호선","Y","N","N","","N","N","N","N","Y","N"
"2740","숭실대입구","07호선","Y","N","N","","Y","N","N","N","N","N"
"2741","상도","07호선","Y","N","N","","N","N","N","N","Y","N"
"2742","장승배기","07호선","Y","N","N","","N","N","N","N","Y","N"
"2743","신대방삼거리","07호선","Y","N","N","","N","N","N","N","Y","N"
"2744","보라매","07호선","Y","N","N","","N","N","N","N","Y","N"
"2745","신풍","07호선","Y","N","N","","N","N","N","N","N","N"
"2746","대림","07호선","Y","Y","Y","","N","Y","N","N","N","Y"
"2747","남구로","07호선","N","Y","N","","N","N","N","N","Y","N"
"2748","가산디지털단지","07호선","Y","Y","N","","N","N","N","Y","Y","Y"
"2749","철산","07호선","Y","N","N","","Y","N","N","N","Y","N"
"2750","광명사거리","07호선","Y","Y","N","","Y","N","N","N","Y","Y"
"2751","천왕","07호선","Y","N","Y","","Y","N","N","N","Y","N"
"2752","온수","07호선","Y","Y","Y","","Y","N","N","N","Y","Y"
"2811","암사","08호선","Y","N","N","","Y","N","N","N","Y","N"
"2812","천호","08호선","Y","N","Y","","Y","N","N","N","Y","Y"
"2813","강동구청","08호선","Y","N","N","","N","N","N","N","Y","N"
"2814","몽촌토성","08호선","Y","N","N","","N","N","N","N","Y","Y"
"2815","잠실","08호선","Y","Y","Y","","N","N","N","N","N","Y"
"2816","석촌","08호선","Y","N","N","","N","N","N","N","Y","N"
"2817","송파","08호선","Y","N","N","","N","N","N","N","N","N"
"2818","가락시장","08호선","Y","N","N","","N","N","N","N","N","Y"
"2819","문정","08호선","Y","N","N","","N","N","N","N","N","N"
"2820","장지","08호선","Y","N","N","","Y","N","N","N","Y","Y"
"2821","복정","08호선","Y","Y","Y","","N","N","N","N","Y","N"
"2822","산성","08호선","Y","N","Y","","N","N","N","N","Y","N"
"2823","남한산성입구","08호선","Y","N","N","","N","N","N","N","Y","Y"
"2824","단대오거리","08호선","Y","N","N","","N","N","N","N","Y","N"
"2825","신흥","08호선","Y","N","N","","N","N","N","N","N","N"
"2826","수진","08호선","Y","N","N","","N","N","N","N","N","N"
"2827","모란","08호선","Y","Y","N","","N","N","N","N","N","Y"
"2828","남위례","08호선","Y","N","N","","Y","N","N","N","N","Y"
"4126","언주","09호선","Y","N","N","","N","N","N","N","N","Y"
"4127","선정릉","09호선","Y","N","N","","N","N","N","N","N","N"
"4128","삼성중앙","09호선","Y","N","N","","N","N","N","N","N","Y"
"4129","봉은사","09호선","Y","N","N","","N","N","N","N","N","Y"
"4130","종합운동장","09호선","Y","N","N","","N","N","N","N","N","Y"
"4131","삼전","09호선","Y","N","N","","N","N","N","N","N","Y"
"4132","석촌고분","09호선","Y","N","N","","N","N","N","N","N","Y"
"4133","석촌","09호선","Y","N","N","","N","N","N","N","N","Y"
"4134","송파나루","09호선","Y","N","N","","Y","N","N","N","N","Y"
"4135","한성백제","09호선","Y","N","N","","N","N","N","N","N","Y"
"4136","올림픽공원","09호선","Y","N","N","","N","N","N","N","N","Y"
"4137","둔촌오륜","09호선","Y","N","N","","N","N","N","N","N","Y"
"4138","중앙보훈병원","09호선","Y","N","N","","N","N","N","N","N","Y"
